index,stock_name,pb,ps,median_pb,difference_pb,median_ps,difference_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps,neighbour_name,neighbour_pb,neighbour_ps
1,BHP Group Ltd,2.45,2.71,1.63,-33.47,1.85,-31.73,Anglo American,1.63,1.39,NEPI Rockcastle,0.9,5.59,Vodacom,2.72,2.31,Remgro,0.8,1.04,AngloGold Ashanti,1.79,1.63,Gold Fields,1.88,1.85,British American Tobacco,1.11,2.96
2,Anheuser Busch Inbev,2.57,2.63,2.72,5.84,1.32,-49.81,MultiChoice,4.9,1.06,MTN,2.31,1.32,Glencore,0.85,0.17,Bid Corp,3.79,0.77,Richemont,4.58,3.96,Vodacom,2.72,2.31,British American Tobacco,1.11,2.96
3,Prosus,3.96,40.74,1.79,-54.80,1.94,-95.24,Naspers,2.02,4.07,AngloGold Ashanti,1.79,1.63,Exxaro,1.07,1.2,BHP Group Ltd,2.45,2.71,South32,0.87,1.19,Richemont,4.58,3.96,Aspen Pharmacare,1.06,1.94
4,Richemont,4.58,3.96,1.79,-60.92,1.63,-58.84,Gold Fields,1.88,1.85,Kap Industrial,0.73,0.29,AngloGold Ashanti,1.79,1.63,Anglo American,1.63,1.39,BHP Group Ltd,2.45,2.71,MTN,2.31,1.32,Aspen Pharmacare,1.06,1.94
5,British American Tobacco,1.11,2.96,2.45,120.72,2.15,-27.36,Vodacom,2.72,2.31,Anglo American,1.63,1.39,Clicks,11.4,1.64,BHP Group Ltd,2.45,2.71,NEPI Rockcastle,0.9,5.59,Kumba Iron Ore,3.88,2.15,Gold Fields,1.88,1.85
6,Glencore,0.85,0.17,2.57,202.35,0.59,247.06,Sasol Bee,0.86,0.55,Bid Corp,3.79,0.77,Sasol,0.82,0.53,Motus,1.26,0.19,Bidvest,2.84,0.81,Shoprite,4.57,0.59,Anheuser Busch Inbev,2.57,2.63
7,Compagnie Financiere Richemont,0.0,3.22,1.63,0.00,0.81,-74.84,Sasol,0.82,0.53,Anglo American Platinum,2.72,1.6,Bid Corp,3.79,0.77,Sasol Bee,0.86,0.55,Anglo American,1.63,1.39,Bidvest,2.84,0.81,Impala Platinum,1.2,1.21
8,Anglo American,1.63,1.39,1.50,-7.98,1.85,33.09,Mr Price,3.03,1.3,NEPI Rockcastle,0.9,5.59,Distell,2.24,1.9,Gold Fields,1.88,1.85,Remgro,0.8,1.04,Aspen Pharmacare,1.06,1.94,Foschini Group,1.5,0.63
9,Naspers,2.02,4.07,1.81,-10.40,1.21,-70.27,Thungela Resources,1.27,0.69,Gold Fields,1.88,1.85,Anglo American Platinum,2.72,1.6,Impala Platinum,1.2,1.21,Bid Corp,3.79,0.77,Discovery,1.81,1.4,Foschini Group,1.5,0.63
10,Anglo American Platinum,2.72,1.6,2.72,0.00,0.77,-51.88,Bid Corp,3.79,0.77,Vodacom,2.72,2.31,Bidvest,2.84,0.81,Foschini Group,1.5,0.63,MTN,2.31,1.32,Shoprite,4.57,0.59,Santam,0.0,0.0
11,MTN,2.31,1.32,1.88,-18.61,0.81,-38.64,Bidvest,2.84,0.81,Foschini Group,1.5,0.63,Kap Industrial,0.73,0.29,Vodacom,2.72,2.31,Bid Corp,3.79,0.77,Gold Fields,1.88,1.85,Life Healthcare,1.52,1.0
12,Vodacom,2.72,2.31,2.72,0.00,0.77,-66.67,Bidvest,2.84,0.81,Foschini Group,1.5,0.63,RCL Foods,0.9,0.28,Santam,0.0,0.0,MultiChoice,4.9,1.06,Bid Corp,3.79,0.77,Anglo American Platinum,2.72,1.6
13,South32,0.87,1.19,9.42,982.76,3.14,163.87,Bytes Technology,24.35,3.14,Karooooo,12.02,7.18,Montauk Renewables,10.87,17.36,NEPI Rockcastle,0.9,5.59,PSG Konsult Ltd,3.8,2.52,Ninety One,5.48,2.82,Ninety One,9.42,1.78
14,Sasol,0.82,0.53,1.81,120.73,0.81,52.83,Bid Corp,3.79,0.77,Sasol Bee,0.86,0.55,Pepkor,1.1,0.85,Discovery,1.81,1.4,Foschini Group,1.5,0.63,Bidvest,2.84,0.81,Discovery,1.81,1.4
15,Sasol Bee,0.86,0.55,1.26,46.51,0.63,14.55,Sasol,0.82,0.53,Remgro,0.8,1.04,Foschini Group,1.5,0.63,Bid Corp,3.79,0.77,Glencore,0.85,0.17,Bidvest,2.84,0.81,Motus,1.26,0.19
16,Kumba Iron Ore,3.88,2.15,1.07,-72.42,1.04,-51.63,Exxaro,1.07,1.2,Mr Price,3.03,1.3,Tiger Brands,2.26,1.03,Remgro,0.8,1.04,AECI Pref,0.9,0.34,Telkom,0.51,0.42,Distell,2.24,1.9
