name_trans|viewData.symbol|exchange_trans|sector_trans|industry_trans|last|pair_change_percent|eq_market_cap|turnover_volume|eq_pe_ratio|MACD|eq_revenue|avg_volume|eq_eps|eq_beta|eq_dividend|eq_yield|tech_sum_900|tech_sum_3600|tech_sum_86400|tech_sum_week|tech_sum_month|daily|week|month|ytd|year|3year|eq_one_year_return|yield_us|peexclxor_us|ttmpr2rev_us|aprfcfps_us|ttmprfcfps_us|price2bk_us|pr2tanbk_us|epschngyr_us|ttmepschg_us|epstrendgr_us|revchngyr_us|ttmrevchg_us|revtrendgr_us|csptrendgr_us|ttmastturn_us|ttminvturn_us|ttmrevpere_us|ttmniperem_us|ttmrecturn_us|a52_week_high|a52_week_low|a52_week_high_diff|a52_week_low_diff|month_change|ttmgrosmgn_us|grosmgn5yr_us|ttmopmgn_us|opmgn5yr_us|ttmptmgn_us|ptmgn5yr_us|ttmnpmgn_us|margin5yr_us|qquickrati_us|qcurratio_us|qltd2eq_us|qtotd2eq_us|yld5yavg_us|divgrpct_us|ttmpayrat_us|ADX|ATR|BullBear|CCI|HL|ROC|RSI|STOCH|STOCHRSI|UO|WilliamsR
BHP Group Ltd|BHGJ|Johannesburg|Basic Materials|Metals & Mining|55000|-2.95%|2.75T|1.01M|5.41|-350.44|43.27B|602.89K|5.51|0.81|4.62K|-|Strong Sell|Strong Sell|Strong Sell|Buy|Strong Buy|-2.95|-7.61|-6.43|4.42|20.78|-|17.73|8.21%|8.59|2.71|15.90|20.72|2.45|2.35|-2.27|20.84|-6.51|1.05|14.47|-4.35|-23.81|0.40|1.91|2.41|544.13|8.72|62230|40681|-11.62|35.20|-6.81%|85.10|57.19|37.29|29.95|34.71|27.47|22.56|17.11|2.16|2.55|47.26|50.28|7.82|-|69.45|23.40|1.93K|-3.98K|-145.48|-1.83K|-11.54|39.48|94.67|9.35|36.82|-12.48
Anheuser Busch Inbev|ANHJ|Johannesburg|Consumer Non-Cyclicals|Beverages|112726|-2.17%|2.22T|533.49K|20.52|2.10K|57.32B|213.65K|2.97|1.10|0.75|-|Strong Buy|Buy|Strong Buy|Strong Buy|Strong Buy|-2.17|1.64|8.51|10.10|32.05|59.11|32.62|1.3%|20.44|2.63|79.08|79.08|2.57|-1.53|-89.13|-46.68|-24.68|-2.40|-3.23|4.81|5.62|0.23|4.87|278.92|28.47|8.44|114457|80461|-1.51|40.10|7.79%|62.73|61.40|30.84|30.37|15.62|20.30|10.21|15.62|0.41|0.53|163.73|170.45|1.83|-20.55|55.88|35.08|3.45K|2.36K|108.50|559.36|4.62|64.04|97.84|14.78|65.70|-1.66
Prosus|PRXJn|Johannesburg|Technology|Software & IT Services|125691|-3.57%|1.64T|1.29M|20.43|-1.72K|5.14B|764.16K|3.79|0.48|484.06|-|Strong Sell|Strong Sell|Strong Sell|Buy|Strong Buy|-3.57|-6.87|-11.73|6.72|45.50|26.39|43.52|0.37%|17.22|40.74|-186.62|-107.89|3.96|4.41|32.35|-12.93|-|14.94|25.42|30.20|38.23|0.09|12.45|164.47|274.60|21.19|148820|67645|-15.54|85.81|-3.67%|38.77|33.40|-20.09|-16.37|176.95|193.23|166.96|189.93|6.56|6.65|12.00|12.24|0.14|-|-|45.69|4.31K|-13.61K|-265.55|-5.91K|-10.67|34.43|93.62|0.00|39.63|-11.25
Richemont|CFRJ|Johannesburg|Consumer Cyclicals|Textiles & Apparel|28344|-2.59%|1.63T|4.28M|1.02|631.09|14.81B|2.92M|0.14|1.30|402.07|-|Strong Sell|Strong Sell|Buy|Strong Buy|Strong Buy|-2.59|1.19|4.88|27.02|60.27|215.92|58.18|1.48%|30.91|3.96|15.14|23.60|4.58|4.75|-161.46|-96.56|11.27|24.26|36.35|12.49|7.06|0.55|1.11|587.68|1.79|10.66|29380|14594|-3.53|94.22|5.52%|63.73|62.21|19.00|14.66|15.84|14.74|0.39|10.97|1.55|2.48|32.68|85.39|2.32|68.04|2.26K|24.56|626.14|103.79|23.47|0.00|0.94|56.13|96.68|1.24|57.69|-5.34
British American Tobacco|BTIJ|Johannesburg|Consumer Non-Cyclicals|Food & Tobacco|68900|-1.07%|1.53T|1.18M|10.60|502.28|27.66B|765.22K|2.93|0.37|23.09K|-|Strong Buy|Buy|Neutral|Strong Buy|Strong Buy|-1.07|0.70|4.24|2.21|11.99|23.96|11.68|720.45%|10.84|2.96|14.46|14.46|1.11|-1.34|-87.80|-79.46|4.92|5.85|25.19|9.92|5.52|0.17|0.77|431.88|108.27|6.41|74444|58585|-7.45|17.61|5.47%|81.42|77.27|38.02|61.53|34.10|64.30|25.07|55.08|0.41|0.78|66.14|72.59|8.72|11.07K|74.84|18.25|1.29K|-1.24K|-97.76|0.00|-0.62|53.28|96.08|10.46|56.71|-4.07
Glencore|GLNJ|Johannesburg|Basic Materials|Metals & Mining|10229|-1.85%|1.31T|3.14M|4.29|-198.80|195.21B|3.41M|1.33|1.27|-|-|Strong Sell|Strong Sell|Strong Sell|Neutral|Buy|-1.85|-10.29|-7.96|-10.30|4.87|265.97|6.66|-|4.21|0.17|9.48|9.48|0.85|0.99|-81.58|-42.54|26.79|5.71|6.95|-1.14|-13.34|1.66|9.44|1.14|13.61|17.83|12433|7762|-17.73|31.78|-4.63%|4.12|3.17|2.13|0.73|2.13|0.73|1.19|0.09|0.59|1.10|57.77|76.51|-|-|82.41|21.74|370.43|-1.17K|-228.15|-525.86|-9.71|35.70|47.98|0.00|30.22|-84.92
Compagnie Financiere Richemont|CFROJ|Johannesburg|Consumer Cyclicals|Textiles & Apparel|219|-7.59%|972.76B|264.63K|0.61|13.64|183.54B|2.02M|62.00|-|-|-|Strong Buy|Strong Sell|Buy|Strong Buy|Strong Buy|-7.59|4.29|14.66|82.50|130.53|-|130.53|-|0.01|3.22|24.51|21.94|0.00|4.33|663.92|956.60|-5.10|62.60|34.53|3.48|-6.29|0.48|0.95|8.00|1.15|10.97|250|57|-12.40|284.21|15.03%|62.33|61.94|17.95|13.56|16.58|14.44|14.35|11.80|1.75|2.51|48.75|78.98|-|-|0.00|30.02|22.64|-4.28|36.25|0.00|8.96|57.79|65.64|23.94|59.84|-47.69
Anglo American|AGLJ|Johannesburg|Basic Materials|Metals & Mining|61200|-1.54%|751.99B|1.65M|9.11|-2.20K|35.12B|1.23M|3.72|1.34|3.45K|-|Strong Buy|Neutral|Strong Sell|Strong Sell|Buy|-1.54|-7.67|-12.46|-7.74|-19.29|126.06|-18.10|5.09%|9.10|1.39|15.74|15.74|1.63|1.87|27.82|11.75|8.39|-1.48|5.21|-1.21|-11.11|0.52|2.25|346.40|54.86|13.27|82208|49368|-25.55|23.97|-13.08%|62.14|29.79|21.12|6.92|22.42|7.01|15.84|2.44|1.29|1.95|35.47|38.02|4.79|-3.82|35.78|35.74|2.45K|-7.08K|-132.87|-1.93K|-14.35|34.68|91.43|13.53|43.52|-16.45
Naspers|NPNJn|Johannesburg|Technology|Software & IT Services|304970|-3.74%|625.95B|646.42K|16.11|-3.26K|93.64B|557.84K|10.45|0.55|660.23|-|Strong Sell|Strong Sell|Strong Sell|Buy|Strong Buy|-3.74|-6.43|-11.16|7.98|70.07|33.58|70.02|0.19%|15.98|4.07|-94.23|-35.72|2.02|2.51|-83.61|-70.96|50.74|14.28|25.46|5.42|10.38|0.13|12.39|238.29|147.75|14.37|358266|139250|-14.88|119.01|-2.67%|28.93|32.06|-6.16|-18.28|61.87|226.71|26.64|239.43|2.82|3.48|88.89|92.15|0.28|14.07|7.86|40.37|11.28K|-32.55K|-236.54|-14.52K|-9.15|35.29|93.05|0.00|37.80|-11.76
FirstRand|FSRJ|Johannesburg|Financial|Banking Services|6718|-1.26%|376.63B|17.02M|10.81|69.68|101.68B|10.72M|6.23|0.68|499.00|-|Strong Buy|Strong Buy|Strong Buy|Strong Buy|Strong Buy|-1.26|0.42|4.54|8.15|-4.27|35.50|-0.46|7.46%|10.78|3.27|-6.73|-3.14|2.14|0.00|13.71|11.16|5.93|14.25|11.73|6.70|-6.55|-|0.00|-|-|-|7934|5680|-15.33|18.27|1.71%|-|0.00|0.00|38.92|0.00|39.64|0.00|30.34|0.00|-|0.00|0.00|5.43|181.82|23.07|56.28|189.79|-0.35|49.37|0.00|3.46|56.76|62.44|37.92|55.29|-36.09
